,Vendedor,Doc,Fecha,Nombres,Unidades,Unitario Venta,Ventas,Costo Unitario,Costo Total,Margen,PorMargen,Codigo,Descripcion
230,,FV R 11506,07/02/2020,NOGUERA PEÑA JOSE ANTONIO,2.0,63151.26,126302.52,48645.27,97290.55,29011.97,0.23,10040629,TUBO TELESC.
231,,FV R 11506,07/02/2020,NOGUERA PEÑA JOSE ANTONIO,1.0,16638.66,16638.66,10507.0,10507.0,6131.66,0.37,10040651,CABEZA SUSPENSION DEL
232,,FV R 11506,07/02/2020,NOGUERA PEÑA JOSE ANTONIO,1.0,134453.78,134453.78,89140.0,89140.0,45313.78,0.34,10040652,ESPIGA
233,,FV R 11506,07/02/2020,NOGUERA PEÑA JOSE ANTONIO,1.0,31764.71,31764.71,22609.0,22609.0,9155.71,0.29,10041794,SOPORTE LEVA CLUTCH
234,,FV R 11506,07/02/2020,NOGUERA PEÑA JOSE ANTONIO,2.0,6806.72,13613.45,5300.83,10601.66,3011.78,0.22,10042275,RETEN TELESC
235,,FV R 11506,07/02/2020,NOGUERA PEÑA JOSE ANTONIO,1.0,14369.75,14369.75,11266.42,11266.42,3103.33,0.22,10042350,CABLE FRENO DELANTERO
236,,FV R 11506,07/02/2020,NOGUERA PEÑA JOSE ANTONIO,1.0,20420.17,20420.17,14700.0,14700.0,5720.17,0.28,10043179,BAJ SOPORTE GUARDAFANGO
237,,FV R 11506,07/02/2020,NOGUERA PEÑA JOSE ANTONIO,1.0,176470.59,176470.59,0.0,0.0,176470.59,1.0,2,MANTENIMIENTO Y/O SERV. TECNICO MOTOCICLETAS
238,,FV R 11506,07/02/2020,NOGUERA PEÑA JOSE ANTONIO,1.0,29495.8,29495.8,23201.71,23201.71,6294.09,0.21,20002231,MANUBRIO NEGRO
239,,FV R 11510,08/02/2020,GLORIA EISELA GARCIA QUINTERO,1.0,4621.85,4621.85,3433.38,3433.38,1188.47,0.26,10042296,EMPAQUE CARCASA CLUTCH
240,,FV R 11510,08/02/2020,GLORIA EISELA GARCIA QUINTERO,1.0,17000.0,17000.0,14428.17,14428.17,2571.83,0.15,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
241,,FV R 11510,08/02/2020,GLORIA EISELA GARCIA QUINTERO,1.0,4000.0,4000.0,0.0,0.0,4000.0,1.0,INS001,INSUMOS
242,,FV R 11512,10/02/2020,GARCIA ESPAÑA DANIELA MARIA,0.0,0.0,0.0,54340.0,0.0,0.0,0.0,0267011719,300-17 6L LLANTA SECURA M86 TT
243,,FV R 11513,11/02/2020,OVALLE NUÑEZ DIANIS MARIA,1.0,94117.65,94117.65,98344.0,98344.0,-4226.35,-0.04,20007273,CASCO AP 101
244,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,16260.5,16260.5,12163.37,12163.37,4097.13,0.25,10012780,CADENILLA DISTRIBUCION
245,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,16260.5,16260.5,12163.37,12163.37,4097.13,0.25,10012780,CADENILLA DISTRIBUCION
246,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,17016.81,17016.81,12794.5,12794.5,4222.31,0.25,10015076,KIT GUIAS CADENILLA DIST
247,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,17016.81,17016.81,12794.5,12794.5,4222.31,0.25,10015076,KIT GUIAS CADENILLA DIST
248,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,20420.17,20420.17,15860.98,15860.98,4559.19,0.22,10015127,ANILLOS STD
249,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,20420.17,20420.17,15860.98,15860.98,4559.19,0.22,10015127,ANILLOS STD
250,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,21932.77,21932.77,16461.24,16461.24,5471.53,0.25,10015137,KIT DISCOS CLUTCH
251,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,21932.77,21932.77,16461.24,16461.24,5471.53,0.25,10015137,KIT DISCOS CLUTCH
252,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,7941.18,7941.18,6482.48,6482.48,1458.7,0.18,10015299,KIT RETENES
253,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,7941.18,7941.18,6482.48,6482.48,1458.7,0.18,10015299,KIT RETENES
254,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,6806.72,6806.72,5236.6,5236.6,1570.12,0.23,10016818,RODAMIENTO BOLAS EJE CLUTCH
255,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,6806.72,6806.72,5236.6,5236.6,1570.12,0.23,10016818,RODAMIENTO BOLAS EJE CLUTCH
256,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,25714.29,25714.29,19403.54,19403.54,6310.75,0.25,10040527,TENSOR CADENILLA
257,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,25714.29,25714.29,19403.54,19403.54,6310.75,0.25,10040527,TENSOR CADENILLA
258,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,2.0,6806.72,13613.45,5300.83,10601.66,3011.78,0.22,10042275,RETEN TELESC
259,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,2.0,6806.72,13613.45,5300.83,10601.66,3011.78,0.22,10042275,RETEN TELESC
260,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,3403.36,3403.36,3433.38,3433.38,-30.02,-0.01,10042296,EMPAQUE CARCASA CLUTCH
